layer,transform,alpha,head,perturb_scale,rel_delta_fro,rel_delta_2
layer_1,raw,,1,0.001,0.0006453038135394827,0.0004496572017013218
layer_1,raw,,1,0.01,0.006412929256958386,0.004154497042348176
layer_1,raw,,2,0.0001,8.480934475109628e-05,7.271397383267541e-05
layer_1,raw,,2,0.001,0.0009005467840318566,0.000656745038490418
layer_1,raw,,2,0.01,0.00835857668152223,0.006503570525131727
layer_1,raw,,3,0.0001,6.268687652308132e-05,4.5438850531367735e-05
layer_1,raw,,3,0.001,0.0007473304853647246,0.0006287529788470951
layer_1,raw,,3,0.01,0.007116707038599785,0.0064948426789058706
layer_1,raw,,4,0.0001,8.845324200215725e-05,6.894469152115472e-05
layer_1,raw,,4,0.001,0.0008520235199674695,0.0006335030425934035
layer_1,raw,,4,0.01,0.00917934148964192,0.006860274454843136
layer_1,raw,,5,0.0001,7.705139882743046e-05,4.444005343965857e-05
layer_1,raw,,5,0.001,0.0006811449860207519,0.0004041738078165559
layer_1,raw,,5,0.01,0.0077596405142629455,0.004473085322274993
layer_1,raw,,6,0.0001,6.447933961357946e-05,3.815952999748897e-05
layer_1,raw,,6,0.001,0.0006455617746213239,0.00037241865548347876
layer_1,raw,,6,0.01,0.007217773085250002,0.004621761367894212
layer_1,raw,,7,0.0001,6.927130977171928e-05,4.501916329359822e-05
layer_1,raw,,7,0.001,0.0007837724996488883,0.0005521420759504544
layer_1,raw,,7,0.01,0.00750150468968029,0.005350131595289377
layer_1,raw,,8,0.0001,6.828486657631402e-05,4.529740873717623e-05
layer_1,raw,,8,0.001,0.0006137714503755946,0.0003799614934938935
layer_1,raw,,8,0.01,0.006059506967381951,0.003698834515524217
layer_1,raw,,9,0.0001,8.369395952075102e-05,6.0690010768377506e-05
layer_1,raw,,9,0.001,0.0008783770126919009,0.0006877767404962696
layer_1,raw,,9,0.01,0.00882129939736642,0.006318051247689273
layer_1,raw,,10,0.0001,7.96408867519648e-05,7.296033945306511e-05
layer_1,raw,,10,0.001,0.0007980973493735553,0.0006619918504304491
layer_1,raw,,10,0.01,0.007916662977869887,0.006193640096246554
layer_1,raw,,11,0.0001,8.800396119883219e-05,5.594991135839329e-05
layer_1,raw,,11,0.001,0.0009588673431371865,0.0006760067229558077
layer_1,raw,,11,0.01,0.008855488600907813,0.005396310506061952
layer_1,raw,,0,0.0001,9.849064803321232e-05,7.521260628063867e-05
layer_1,raw,,0,0.001,0.0009821585180714788,0.0006057106976302287
layer_1,raw,,0,0.01,0.009477290544976149,0.006170193059587895
layer_1,raw,,1,0.0001,6.886968987771654e-05,4.169457690552207e-05
layer_1,raw,,1,0.001,0.0006524733818083952,0.0004515143439139807
layer_1,raw,,1,0.01,0.006198991599636218,0.004127276976141425
layer_1,raw,,2,0.0001,7.314277265280317e-05,5.835964558196194e-05
layer_1,raw,,2,0.001,0.0007938097359359154,0.0006451617453559243
layer_1,raw,,2,0.01,0.008269901601311653,0.007025721020694661
layer_1,raw,,3,0.0001,7.3346052147719e-05,4.9432290952186386e-05
layer_1,raw,,3,0.001,0.0006712927930073031,0.0004915135719518641
layer_1,raw,,3,0.01,0.007259213716612914,0.0055571115738021135
layer_1,raw,,4,0.0001,8.577279952489402e-05,5.65806644487374e-05
layer_1,raw,,4,0.001,0.0009034897534236007,0.0006699664737446065
layer_1,raw,,4,0.01,0.008867007866616818,0.0067121133881895435
layer_1,raw,,5,0.0001,9.018225102625696e-05,5.8966852563995704e-05
layer_1,raw,,5,0.001,0.0009612898056612576,0.0006576794171936811
layer_1,raw,,5,0.01,0.008319730461031252,0.005095191924500559
layer_1,raw,,6,0.0001,7.456456338477141e-05,4.745654975389464e-05
layer_1,raw,,6,0.001,0.0007808265469736818,0.0005530304437595645
layer_1,raw,,6,0.01,0.00792483219804141,0.00488781217691449
layer_1,raw,,7,0.0001,7.979217522143094e-05,6.771906413379491e-05
layer_1,raw,,7,0.001,0.0008456950513281573,0.0006482001751492472
layer_1,raw,,7,0.01,0.007843918039743216,0.005937924464587112
layer_1,raw,,8,0.0001,6.697133558467278e-05,4.4926863030756936e-05
layer_1,raw,,8,0.001,0.0006345277812224391,0.0003762809564775885
layer_1,raw,,8,0.01,0.007623137704649065,0.004757105663465121
layer_1,raw,,9,0.0001,8.924151524229102e-05,6.762331891572281e-05
layer_1,raw,,9,0.001,0.000941541531841159,0.0007612779216633949
layer_1,raw,,9,0.01,0.009125879340125173,0.006614634477731539
layer_1,raw,,10,0.0001,7.300148469750643e-05,6.251256634026863e-05
layer_1,raw,,10,0.001,0.0008114328024992847,0.0006813459243298729
layer_1,raw,,10,0.01,0.008484834659599306,0.006773218493913312
layer_1,raw,,11,0.0001,8.82856452999506e-05,5.1907419145884934e-05
layer_1,raw,,11,0.001,0.0009540661581519213,0.0005593225630503583
layer_1,raw,,11,0.01,0.010018395818059024,0.006983190686374511
layer_1,raw,,0,0.0001,9.602436862071975e-05,6.725682487269319e-05
layer_1,raw,,0,0.001,0.0009349953227766271,0.00058381062855761
layer_1,raw,,0,0.01,0.009309769423669883,0.006477979950625086
layer_1,raw,,1,0.0001,6.512181738832763e-05,4.942335849686488e-05
layer_1,raw,,1,0.001,0.0005882528759388517,0.00037071851078465136
layer_1,raw,,1,0.01,0.00601477490573544,0.0037609756842532445
layer_1,raw,,2,0.0001,6.018777855469768e-05,4.333572124504646e-05
layer_1,raw,,2,0.001,0.0006789935526321108,0.00047629306508825225
layer_1,raw,,2,0.01,0.006294266468029732,0.004373603989982154
layer_1,raw,,3,0.0001,5.585516250087906e-05,3.970555269131075e-05
layer_1,raw,,3,0.001,0.0005557775399668778,0.00036375371783941673
layer_1,raw,,3,0.01,0.005259219102911994,0.0036201184281658477
layer_1,raw,,4,0.0001,7.856324554681122e-05,5.892865313700531e-05
layer_1,raw,,4,0.001,0.0008529897296462621,0.0007037889495202873
layer_1,raw,,4,0.01,0.008518856525788624,0.0065048056470891425
layer_1,raw,,5,0.0001,9.279699190156785e-05,6.343865472585689e-05
layer_1,raw,,5,0.001,0.0008812530255766293,0.0006177042177620011
layer_1,raw,,5,0.01,0.008751283619998466,0.005923173506630836
layer_1,raw,,6,0.0001,5.3447253250378627e-05,3.585848495578912e-05
layer_1,raw,,6,0.001,0.0005697685830841693,0.0003833587329872212
layer_1,raw,,6,0.01,0.0064619405609858275,0.004198370461170967
layer_1,raw,,7,0.0001,6.84939034518293e-05,4.60393012358502e-05
layer_1,raw,,7,0.001,0.0006596767006598407,0.000492322249969424
layer_1,raw,,7,0.01,0.007895423426554108,0.006330191115386435
layer_1,raw,,8,0.0001,6.178105392185355e-05,4.653993335652753e-05
layer_1,raw,,8,0.001,0.0005874329461128508,0.00035922677049732353
layer_1,raw,,8,0.01,0.0062094178920882115,0.004340562119321879
layer_1,raw,,9,0.0001,8.467639094158764e-05,7.721189163824442e-05
layer_1,raw,,9,0.001,0.0008169534778092382,0.0006584448511938579
layer_1,raw,,9,0.01,0.007578627205251773,0.006103377237897552
layer_1,raw,,10,0.0001,6.439230848285768e-05,4.6258974258387395e-05
layer_1,raw,,10,0.001,0.0007500928241165673,0.00058423423617385
layer_1,raw,,10,0.01,0.007215263071365751,0.00531466325634658
layer_1,raw,,11,0.0001,7.051687964495723e-05,4.2603037171214124e-05
layer_1,raw,,11,0.001,0.0007626698216587276,0.000574859345543379
layer_1,raw,,11,0.01,0.007303989696006123,0.0055033571965602945
layer_1,raw,,0,0.0001,8.152558252124793e-05,5.002549367077629e-05
layer_1,raw,,0,0.001,0.0008145340827258433,0.0004712222481857361
layer_1,raw,,0,0.01,0.008222637900986103,0.004686200419894782
layer_1,raw,,1,0.0001,6.881921277735081e-05,5.016010206177942e-05
layer_1,raw,,1,0.001,0.0007120368486631433,0.0005076385417459426
layer_1,raw,,1,0.01,0.006746104110276476,0.004892373682338429
layer_1,raw,,2,0.0001,8.612870468332742e-05,6.733990042809209e-05
layer_1,raw,,2,0.001,0.0007852418434441976,0.0006644724467419976
layer_1,raw,,2,0.01,0.008305873520967528,0.006502180989785787
layer_1,raw,,3,0.0001,6.985068648468322e-05,5.308661703904479e-05
layer_1,raw,,3,0.001,0.0006823950288427093,0.0006090136504552496
layer_1,raw,,3,0.01,0.007243261150967433,0.005286488185440971
layer_1,raw,,4,0.0001,9.505127879429507e-05,7.866310033503485e-05
layer_1,raw,,4,0.001,0.0008893477691381555,0.0006691316290082496
layer_1,raw,,4,0.01,0.009340812118596211,0.007387694685125185
layer_1,raw,,5,0.0001,8.596138805398678e-05,7.017442478683839e-05
