layer,matrix_type,transform,alpha,k,rel_fro_error
layer_4,G,ln,,8,0.05061198326534634
layer_4,G,ln,,16,0.03699775869175414
layer_4,G,ln,,32,0.025182613688736807
layer_4,G,ln,,64,0.013673632795816789
layer_4,G,ln,,128,0.004940299149667077
layer_4,X,dyt,0.25,1,0.8503394362702927
layer_4,X,dyt,0.25,2,0.8131838813506611
layer_4,X,dyt,0.25,4,0.7727231255982759
layer_4,X,dyt,0.25,8,0.7149172319357076
layer_4,X,dyt,0.25,16,0.6439072391196309
layer_4,X,dyt,0.25,32,0.5455230086520981
layer_4,X,dyt,0.25,64,0.40797550009079786
layer_4,X,dyt,0.25,128,0.2390263259489013
layer_4,G,dyt,0.25,1,0.3494266241988528
layer_4,G,dyt,0.25,2,0.2799348993230059
layer_4,G,dyt,0.25,4,0.23298962446821306
layer_4,G,dyt,0.25,8,0.18097489990061508
layer_4,G,dyt,0.25,16,0.13812255607028728
layer_4,G,dyt,0.25,32,0.09536587867337858
layer_4,G,dyt,0.25,64,0.0517641456368811
layer_4,G,dyt,0.25,128,0.018475965401871054
layer_4,X,dyt,0.5,1,0.8899456649784218
layer_4,X,dyt,0.5,2,0.8518537604906947
layer_4,X,dyt,0.5,4,0.8094652075305805
layer_4,X,dyt,0.5,8,0.7492137998629793
layer_4,X,dyt,0.5,16,0.6746372390762208
layer_4,X,dyt,0.5,32,0.5719068939692419
layer_4,X,dyt,0.5,64,0.43057308245779974
layer_4,X,dyt,0.5,128,0.253192588976182
layer_4,G,dyt,0.5,1,0.47502639767938026
layer_4,G,dyt,0.5,2,0.38321975488259036
layer_4,G,dyt,0.5,4,0.31867121711235447
layer_4,G,dyt,0.5,8,0.24783165012584113
layer_4,G,dyt,0.5,16,0.1885878140738884
layer_4,G,dyt,0.5,32,0.1297793178306755
layer_4,G,dyt,0.5,64,0.07182598700759436
layer_4,G,dyt,0.5,128,0.025845635962307014
layer_4,X,dyt,1.0,1,0.904547406535548
layer_4,X,dyt,1.0,2,0.8650943148101264
layer_4,X,dyt,1.0,4,0.8226030572017222
layer_4,X,dyt,1.0,8,0.762004467092614
layer_4,X,dyt,1.0,16,0.6867946694940971
layer_4,X,dyt,1.0,32,0.5838098165505469
layer_4,X,dyt,1.0,64,0.44221205886783643
layer_4,X,dyt,1.0,128,0.2639275833543239
layer_4,G,dyt,1.0,1,0.5377297615390602
layer_4,G,dyt,1.0,2,0.42931087096082715
layer_4,G,dyt,1.0,4,0.3578028115483904
layer_4,G,dyt,1.0,8,0.27865083868120627
layer_4,G,dyt,1.0,16,0.21194856246454766
layer_4,G,dyt,1.0,32,0.14639210136845293
layer_4,G,dyt,1.0,64,0.08182455033682236
layer_4,G,dyt,1.0,128,0.030463018036723546
layer_5,X,raw,,1,0.5666079180585566
layer_5,X,raw,,2,0.547828689866605
layer_5,X,raw,,4,0.5143608856691811
layer_5,X,raw,,8,0.4705141061957648
layer_5,X,raw,,16,0.4182871530294731
layer_5,X,raw,,32,0.34577174976777514
layer_5,X,raw,,64,0.25265860373052257
layer_5,X,raw,,128,0.14252871831457037
layer_5,G,raw,,1,0.06827650714468504
layer_5,G,raw,,2,0.06095883440506922
layer_5,G,raw,,4,0.04846975545358518
layer_5,G,raw,,8,0.0363821141680169
layer_5,G,raw,,16,0.026953204843748704
layer_5,G,raw,,32,0.01733693033721386
layer_5,G,raw,,64,0.008930879622458882
layer_5,G,raw,,128,0.002935016910886161
layer_5,X,ln,,1,0.6411114805472448
layer_5,X,ln,,2,0.5387209905057129
layer_5,X,ln,,4,0.5002195954710932
layer_5,X,ln,,8,0.4498952323838017
layer_5,X,ln,,16,0.39313630854317677
layer_5,X,ln,,32,0.32378469348708594
layer_5,X,ln,,64,0.2370066434434264
layer_5,X,ln,,128,0.13707630524287365
layer_5,G,ln,,1,0.21347460903405804
layer_5,G,ln,,2,0.07361607859060715
layer_5,G,ln,,4,0.056456104045605054
layer_5,G,ln,,8,0.03942051068807576
layer_5,G,ln,,16,0.027000590796211577
layer_5,G,ln,,32,0.017044907545897547
layer_5,G,ln,,64,0.00868407936458473
layer_5,G,ln,,128,0.002941126602335958
layer_5,X,dyt,0.25,1,0.7908974381118393
layer_5,X,dyt,0.25,2,0.7657650729197804
layer_5,X,dyt,0.25,4,0.7239344112830627
layer_5,X,dyt,0.25,8,0.6626557984860678
layer_5,X,dyt,0.25,16,0.5909307333688941
layer_5,X,dyt,0.25,32,0.48908202490896063
layer_5,X,dyt,0.25,64,0.35782772458431455
layer_5,X,dyt,0.25,128,0.20232466019179424
layer_5,G,dyt,0.25,1,0.22809392913756868
layer_5,G,dyt,0.25,2,0.20415774612537402
layer_5,G,dyt,0.25,4,0.1685791659723146
layer_5,G,dyt,0.25,8,0.12641499052354063
layer_5,G,dyt,0.25,16,0.09490599156557228
layer_5,G,dyt,0.25,32,0.061226288970257524
layer_5,G,dyt,0.25,64,0.0316289841191491
layer_5,G,dyt,0.25,128,0.01045834380608548
layer_5,X,dyt,0.5,1,0.8172735552599398
layer_5,X,dyt,0.5,2,0.7913102031624941
layer_5,X,dyt,0.5,4,0.7499955180413421
layer_5,X,dyt,0.5,8,0.687172794655968
layer_5,X,dyt,0.5,16,0.6130506592712975
layer_5,X,dyt,0.5,32,0.508085724291301
layer_5,X,dyt,0.5,64,0.3724888112944808
layer_5,X,dyt,0.5,128,0.21137242372109097
layer_5,G,dyt,0.5,1,0.2686480512770733
